roi_ids_rem,degallsub_w_avg,degallsub_b_avg,pet_avg,ICallsub_w_avg,ICallsub_b_avg,AvgMIallsub_avg,btw_avg
32,8.720645268926479,127.0,29.888566546969944,29.041462315848182,29.44055492915866,0.06657339298718139,0.0031883807631961536
33,10.7689439448756,149.16666666666666,31.42116101582845,29.609499367086585,29.51455685629507,0.06650211014971823,0.0024956456650976665
34,11.463505227211042,139.77777777777777,27.839227570427788,29.133893010231716,29.50326021688251,0.07474887919192649,0.002974262641965712
35,8.459009384208168,125.0,32.73618772294786,30.29740040463588,29.82247007410296,0.06482776435570718,0.003005750600970189
36,2.977844268829141,86.11111111111111,25.94434192445543,29.767559335853903,29.748796413613338,0.03311905018159673,0.0052944753926098655
37,8.230466740152067,132.83333333333334,29.385201904508804,29.676354083880533,29.548183161946504,0.05727601600800653,0.0026737775474658487
40,4.183582004263592,97.44444444444444,31.784553951687283,29.874992205535687,29.75328666527864,0.03537349653571917,0.00413931712513135
42,3.2245358857867807,86.11111111111111,20.954650931888157,29.373614262461828,29.54377523664437,0.031721764813726024,0.0035275510644729464
43,4.070257309571288,99.27777777777777,33.43115605248345,29.38016745368063,29.30422650626305,0.035378036864755824,0.004397518388968059
46,7.886946658833987,113.38888888888889,29.5684519343906,29.806286291804003,29.615431617614362,0.06430561332863129,0.003446582027032863
48,1.090326376027407,47.05882352941177,21.058351251814102,29.169244093502993,29.387403663766445,0.022356636375503686,0.004298556232096846
49,5.168349980034644,112.38888888888889,30.459398640526665,29.55314125544033,29.47173194798356,0.04033397061173167,0.0031685883318219115
50,8.954856689300016,142.5,31.307619624667698,29.580878901081505,29.5686519074103,0.0578504044259028,0.003216270098314404
53,10.210437088575487,145.83333333333334,31.448678016662598,29.81663069454453,29.70316476565658,0.06344519948671218,0.0026161995652862345
54,3.9211218429615493,91.0,35.54157532585992,30.16073167584504,29.918165727923036,0.03792340679535172,0.003637309093002836
55,6.938317822281701,121.0,33.505964544084335,30.28066760540108,29.880814443549372,0.053541457696377255,0.0038118423514847924
57,8.945945649927873,138.27777777777777,31.070635159810383,29.78222405282313,29.662931774955332,0.05845077660791812,0.0038235378791150257
58,6.730149659355129,108.94444444444444,32.40323538250394,30.38669322183333,29.969163132653712,0.05263768754534083,0.0030147471606857532
59,8.628791024783636,139.72222222222223,32.76287931866116,30.293405196222743,29.985685736689593,0.05951870274917158,0.003339522966417642
60,4.192701073270121,99.66666666666667,35.37321058909098,29.694689538834137,29.620767205252687,0.03722209771960597,0.003817240287314132
62,9.739629142488338,122.38888888888889,30.17711395687527,29.803065459647105,29.72638529034713,0.07708317888063089,0.002964366426278591
64,5.091177010697505,113.05555555555556,33.844122621748184,30.08775900927786,29.828769274224967,0.04383170298960958,0.003644506340775287
67,5.6181987876134,119.77777777777777,34.62469583087497,29.945123257164603,29.67995345822174,0.04294238949224172,0.004014264945084999
69,4.924977023126534,102.33333333333333,37.09107011907241,30.31562260795666,29.933537776856774,0.043671447823230736,0.0037641605849922993
70,4.82680842471397,103.11111111111111,36.340917375352646,29.97677302421392,29.730035515676548,0.04341431863589602,0.0032486577132904374
71,1.2855406210289573,54.42857142857143,27.19974162843492,28.799631891649053,28.93238081456658,0.02323381483211293,0.003352118150019432
72,5.73841499938089,115.0,29.89020284016927,29.692148837487633,29.660027333596652,0.043522555686234,0.003442983403146637
73,9.624093811601448,130.83333333333334,27.7076629002889,30.263492613461487,29.98623496529088,0.06969517124381984,0.003219868722200631
76,6.88545529395651,119.88888888888889,27.723619514041477,29.394823634399074,29.527882062027295,0.04986937714628034,0.003483467921866678
77,10.864483481765129,148.38888888888889,28.63523546854655,29.391881083352903,29.512075914753048,0.06613081012266929,0.0027232586259014553
78,3.2280858935485335,89.52941176470588,32.26929489771525,30.066988488175518,29.76471949211569,0.032153065950946164,0.004423608412143196
80,8.303023920485716,121.05555555555556,26.172236998875935,30.15254313965896,29.92702840742276,0.06273856586432935,0.0029958543852830677
82,5.40425233002387,119.11111111111111,33.77128129535251,29.88366172582968,29.615158725361628,0.042302832011777536,0.003900008636697327
83,5.496538182389352,109.61111111111111,29.612626870473225,29.082969966538037,29.332293412197103,0.04806026133087915,0.003663399116177973
84,7.408660611335454,131.55555555555554,29.87397485309177,29.431645659374436,29.5632404185896,0.052143467917619264,0.0034744713621511136
85,9.909671837523415,151.5,28.194096830156113,29.577025743243055,29.61128114412114,0.06193717584755861,0.0028770997970376127
86,6.121150024814128,121.66666666666667,34.02026806937324,30.157403188954966,29.891219297389014,0.04486196420109403,0.003989974233852975
89,3.9780120885379517,92.38888888888889,25.300446616278755,29.951222862756865,29.780978536649116,0.040585148487951334,0.004390321141195607
90,9.856520404649237,126.61111111111111,31.657766183217365,29.826366021499876,29.707476533081554,0.07457484506665198,0.0034708727382648874
91,13.918962825807045,151.88888888888889,32.345924589369034,29.52569871068699,29.52711522628171,0.08563947998177712,0.0022014581623986985
94,4.3327386653855235,101.16666666666667,29.00450144873725,29.18052712816204,29.250658737122862,0.040220984598627565,0.004349836622475565
95,6.164373422286076,109.38888888888889,31.31460060013665,30.08098859240202,29.82048221352888,0.05454370238922833,0.003848728246318608
96,11.588963104619985,133.77777777777777,26.550705115000408,28.818543585627065,29.42931429789145,0.08466587181312783,0.002376891076852212
97,5.98750900555233,101.61111111111111,25.920729849073624,29.99624479255183,29.856662887414885,0.05432732635322516,0.003921600380014682
98,5.359313358688159,108.5,30.286251968807644,29.883021520909868,29.7226947522339,0.041749887508546524,0.0035365476241885105
99,7.038497955592476,126.44444444444444,36.026032818688286,29.565097789656786,29.54794646396814,0.04824717204606606,0.0026126009414000084
100,5.423457751353463,114.27777777777777,33.654935359954834,30.200506150080084,29.847580216355684,0.04610839524955405,0.0030705258309222556
101,10.919357508093478,135.61111111111111,27.393960422939724,29.449515248696247,29.580317961976316,0.07421836519236653,0.002618898533200904
102,9.631928700376182,145.33333333333334,32.37858035829332,30.369789422102865,29.875088717956537,0.06371047214250683,0.003105612413812958
