ROI,CN_Ab.neg,CN_Ab.pos,MCI_Ab.neg,MCI_Ab.pos,Dementia_Ab.neg,Dementia_Ab.pos
r43,0.9825627906976744,1.1745844961240313,0.9698088607594938,1.2733410526315792,0.9983285714285713,1.338698
rOP4,1.0097488372093022,1.2121062015503876,0.9765240506329115,1.2796863157894736,0.9851857142857144,1.3529660000000001
rOP1,1.2008668604651163,1.3841573643410854,1.1821253164556964,1.452126315789474,1.1680285714285714,1.5174180000000002
rOP2.3,1.2748901162790696,1.4591643410852713,1.2646405063291142,1.4958305263157896,1.2807,1.545078
r52,1.1620476744186046,1.3428953488372093,1.1263468354430377,1.4078621052631577,1.1681857142857144,1.4263480000000002
rRI,1.317896511627907,1.5124596899224807,1.2872481012658228,1.5477494736842112,1.3522999999999998,1.58807
rPFcm,1.2301052325581396,1.4514038759689922,1.1832493670886077,1.495375789473684,1.2595857142857143,1.562884
rPoI2,0.886889534883721,1.0606976744186045,0.8748012658227847,1.1380936842105265,0.839457142857143,1.201678
rTA2,0.8189046511627904,1.0036341085271316,0.790586075949367,1.102803157894737,0.7916285714285713,1.177438
rFOP4,1.2134186046511628,1.4456232558139532,1.1734063291139238,1.5340736842105263,1.2062142857142857,1.593288
rMI,0.905843023255814,1.1323813953488373,0.8838443037974684,1.2564305263157896,0.886142857142857,1.34377
rPir,0.9314936046511627,1.0226139534883723,0.9011012658227846,1.05868,0.8608714285714286,1.09648
rAVI,1.1115308139534883,1.3645410852713178,1.0861240506329115,1.4769147368421047,1.0716142857142856,1.5392340000000002
rAAIC,0.9031947674418603,1.0699147286821706,0.8847544303797467,1.1422568421052632,0.8495428571428573,1.2112079999999998
rFOP1,0.9868383720930233,1.197717054263566,0.9679746835443036,1.3049947368421053,0.9256714285714287,1.3776200000000003
rFOP3,1.2420994186046512,1.4455418604651162,1.2104506329113924,1.5284063157894736,1.2222857142857142,1.59594
rFOP2,1.27528488372093,1.4763294573643413,1.2525215189873415,1.5320884210526318,1.2834285714285714,1.587784
rPFt,1.0449226744186046,1.2994658914728683,0.9988772151898732,1.394464210526316,1.0887571428571428,1.4472459999999998
rAIP,1.1475290697674418,1.4281604651162791,1.1022620253164555,1.5171463157894736,1.1408,1.5916219999999999
rEC,0.8038587209302327,0.8682589147286822,0.7755493670886076,0.8716884210526316,0.7908285714285714,0.88275
rPreS,0.9087697674418606,1.0061403100775195,0.8658037974683546,0.9953894736842105,0.8470285714285716,0.9795199999999998
rH,0.9727069767441858,1.0376976744186046,0.927286075949367,1.0296515789473686,0.9060571428571429,0.9953700000000001
rProS,1.046692441860465,1.2097372093023258,1.0213481012658225,1.241696842105263,1.001842857142857,1.25533
